Collection,Exhibition,Date/Time Created,Link to Source Page,Object / Image Title,"""Accession Number""",Source URI,"Existing Description ""Hover"" Text",Alt Description Text,Long Description Text,Author,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/11/2020 9:52 AM,https://collection.cooperhewitt.org/objects/2318793579/,"MODEL, RHAMNUS FRANGULA, 1875–1898",22.2018.2,https://images.collection.cooperhewitt.org/351369_a4a10286799bf8db_b.jpg,Anatomical model of Rhamnus Frangula glued to a vertical rod mounted on a stepped base with affixed paper label,"An anatomical model of a white tipped, light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with an affixed paper label. ","An anatomical model of a white tipped green flower and light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with an affixed paper label. ",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/11/2020 9:52 AM,https://collection.cooperhewitt.org/objects/2318793579/with-image-351370/,"MODEL, RHAMNUS FRANGULA, 1875–1898",22.2018.2,https://images.collection.cooperhewitt.org/351370_bc41ee5706e430d0_b.jpg,Anatomical model of Rhamnus Frangula glued to a vertical rod mounted on a stepped base with affixed paper label,"An anatomical model of a white tipped, light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with an affixed paper label. ","An ariel view inside the anatomical model of a white tipped green flower and light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with an affixed paper label. ",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/11/2020 9:52 AM,https://collection.cooperhewitt.org/objects/2318793579/with-image-351368/,"MODEL, RHAMNUS FRANGULA, 1875–1898",22.2018.2,https://images.collection.cooperhewitt.org/351368_4a541b5fa33ac409_b.jpg,Anatomical model of Rhamnus Frangula glued to a vertical rod mounted on a stepped base with affixed paper label,"An anatomical model of a white tipped, light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with an affixed paper label. ","An anatomical model of a white tipped green flower and light green stemmed Rhamnus Frangula, commonly known as an alder buckthorn, glossy buckthorn, or breaking buckthorn glued to a vertical rod mounted on a stepped base with affixed paper label. The bulb is split in half, one on the mount to view ovum, style and stigma of the flower.The other lies on the left hand side of the model. ",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,11:01 AM 6/29,https://collection.cooperhewitt.org/objects/2318793583/,"MODEL, SAMBUCUS NIGRA, 1875–1898",22.2018.6,https://images.collection.cooperhewitt.org/351379_bcf03ff4473ddc73_b.jpg,Anatomical model of Sambucus Nigra glued to a vertical rod mounted on a stepped base with affixed paper label,"Anatomical model of Sambucus Nigra, a white European elderberry, glued to a vertical rod mounted on a stepped base with affixed paper label","An anatomical model of a white Sambucus Nigra, a Europena elderberry. Five white petals surround  five long white stamens branching away from the tan interior bud with a curved light green stem. It is glued to a vertical rod mounted on a stepped base with affixed paper label",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,11:01 AM 6/29,https://collection.cooperhewitt.org/objects/2318793583/with-image-351380/,"MODEL, SAMBUCUS NIGRA, 1875–1898",22.2018.6,https://images.collection.cooperhewitt.org/351380_918fe4ea145583c7_b.jpg,Anatomical model of Sambucus Nigra glued to a vertical rod mounted on a stepped base with affixed paper label,"Anatomical model of Sambucus Nigra, a white European elderberry, glued to a vertical rod mounted on a stepped base with affixed paper label","An anatomical model of a white Sambucus Nigra, a Europena elderberry. Five white petals surround  five long white stamens branching away from the tan interior bud with a light green stem. It is glued to a vertical rod mounted on a stepped base with affixed paper label",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,4:40 PM 6/29,https://collection.cooperhewitt.org/objects/2318793584/,"ARUM MACULATUM, 1875–1898",22.2018.7,https://images.collection.cooperhewitt.org/351381_e83e3bc3fe5cffa4_b.jpg,"Arum Maculatum, 1875–1898","Anatomical models of the interior and exterior of Arum Maculatum, a starchwort, glued to a vertical rod mounted on a stepped base with affixed paper label","One model depicts the inside of the flower. The green bottom leads to a white rounded bead shaped bumps. Light brown nodules, divided in four, repeat around the stick. Above are spiny thorns coming out of bumps leading to a grayish slender stick with a rounded top The second model object on the left his a green folded standing leaf with a purple slender peaking up from the middle. They are glued to a vertical rod mounted on a stepped base with affixed paper label",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,4:40 PM 6/29,https://collection.cooperhewitt.org/objects/2318793584/with-image-351382/,"ARUM MACULATUM, 1875–1898",22.2018.7,https://images.collection.cooperhewitt.org/351382_01bff81877ba9f8c_b.jpg,"Arum Maculatum, 1875–1898","Anatomical models of the interior and exterior of Arum Maculatum, a starchwort, glued to a vertical rod mounted on a stepped base with affixed paper label","One model depicts the inside of the flower. The green bottom leads to a white rounded bead shaped bumps. Light brown nodules, divided in four, repeat around the stick. Above are spiny thorns coming out of bumps leading to a grayish slender stick with a rounded top The second model object on the left his a green folded standing leaf with a purple slender peaking up from the middle. They are glued to a vertical rod mounted on a stepped base with affixed paper label",Nilda Lopez,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,43997,http://cprhw.tt/o/4wUqxK/,"Model, Juglans Regia, 1875–1898",22.2018.8,https://images.collection.cooperhewitt.org/351383_b5da944b928567b3_b.jpg,Anatomical model of Juglans Regia glued to a vertical rod mounted on a stepped base with affixed paper label,"Two sculptures of a green plant and its growing stages on one stand. The front piece has a large seed with two thick, bumpy stems emerging and curling outward. Behind it is a horizontal stem with a bundle of green pods are encased leaves.","Here we have two sculptures of a green plant and its growing stages sharing one base stand. The front piece has a large seed pod shaped like a giant flower bud. The pod is opening at the top with two thick, bumpy stems emerging and curling outward. Behind it is a horizontal stem with large black spots and patches of wispy hairs attached to a base. From the horizontal stem a bundle of green pods resembling peppers are encased by an rectangular shell of leaves, as if they were protecting the green pods and are, at last, opening.",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/15/2020 12:00 AM,http://cprhw.tt/o/4wUqxL/,"Model, Sarracenia purpurea, 1875–1898",22.2018.9,https://images.collection.cooperhewitt.org/351386_b627d92822c3142d_b.jpg,Anatomical model of Juglans Regia glued to a vertical rod mounted on a stepped base with affixed paper label **needs to be updated on website,"Sculpture of a green plant resembling an inward-curling leaf attached to a base. Near the opening of the curled plant, center of the plant bulges.","This is a sculpture of a green plant attached to a base. The plant resembles a giant inward-curling leaf, and where it's primarily green, it also has red stems and veins. A-symmetrically shaped, the model curves upward to an opening at the top; along the side of the plant is a single leaf sticking out, as if it is excess after it had curled inward on itself. The top of the plant has an opening that leads to a encased, bulging center.",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,43997,http://cprhw.tt/o/4wUqxM/,"Model, Salvia officinalis, 1875–1898",22.2018.10,https://images.collection.cooperhewitt.org/351388_53a6e7f56a17370a_b.jpg,Anatomical model of Salvia Officinalis glued to a vertical rod mounted on a stepped base with affixed paper label,"Sculpture of a blue flower emerging from its browning bud. The bud is attached to a green, rectangular, diagonal support, and the support is attached to a base.","A light blue flower emerges and extends from its browning bud. The model depicts the blue flower unfurling a single, languid petal, while its other half stands upward and half-closed. Barely visible is the flower's style inside. At the bottom of the blue flower is a white and brown bud, with its triangular leaves still upright. The bud is attached to a green, rectangular, diagonal support, and the support is attached to a base.",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/15/2020 12:00 AM,http://cprhw.tt/o/4wUqxN/,"Model, Menyanthes trifoliate, 1875-1898",22.2018.11,https://images.collection.cooperhewitt.org/351393_54c289ffc31d99b4_b.jpg,Anatomical model of Menyanthes Trifoliate glued to a vertical rod mounted on a stepped base with affixed paper label,"Sculpture of a white flower in bloom from a green stem. The purple style pokes from the center, and the white petals have a small, curling spikes on their surface.  ","Here we have a white flower in bloom from a green stem. The purple style made of rounded triangles pokes up from the center, surrounded by five white petals. The opened petlas have a small, curling spikes on their surface. The green stem is thick and has rounded triangular leaves and is attached to the base.",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/15/20,http://cprhw.tt/o/4wUqxP/,"Model, Rosa canina, 1875-1898",22.2018.12,https://images.collection.cooperhewitt.org/351395_79a20c4e91f2f8d6_b.jpg,Anatomical model of Rosa Canina glued to a vertical rod mounted on a stepped base with affixed paper label,"Two sculpture models of a bright, blossomed pink flower that has white and yellow filament. The other model is an accompanying anatomical model of the flower's inner pistil. ","These two sculptures share the same base and flower type. The pink flower is fully bloomed with heart shaped leaves, and numerous, thin, white filament with yellow anthers coming from a green center. The five heart petals of the flower gradient from pink on the end to white, and have dark pink veins across the surface. The stem is green and boasts small ovular leaves with spiked edges. The anatomical model next to the flower is as if the stem and closed bud were cut down the middle to reveal the inside of the flower: shaped like a lightbulb, there is a fuzzy brown pit in the middle with thin white filament through the tapering part of the bud. From the top of the filaments are small rounded anthers, exposed outside of the closed bud.",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Botanical Lessons,6/15/20,http://cprhw.tt/o/4wUqxQ/,"Model, Theobroma cacao, 1875-1898",22.2018.13,https://images.collection.cooperhewitt.org/351398_ae1d28aebdfbe4af_b.jpg,Anatomical model of Theobroma Cacao glued to a vertical rod mounted on a stepped base with affixed paper label,"Sculpture model of a cacao flower. It has a long green stem and uniquely-shaped, open white flower petals, hanging green leaves, and long styli emerging in the middle. ","Emerging from a long straight stem, slender green leaves hang vertically downward from the center and droop around the stem. Above them, white curling petals dance in bloom. Unlike most petals, these long white petals are shaped like a bean but are open, and at their top, taper from thin curl into what looks like another petal entirely, but is in fact an attached leaf-shape, light yellow in color. It is as if another petal grew out of the white bean petal, but are all attached as a unit. From the center, long, straight styli stick out and transition from a dark maroon to a pink to white. ",Emily Brillon,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,7/2/2020 4:15 PM,https://collection.cooperhewitt.org/objects/18445231/,Uncut Waistcoat Fronts (France),"1962-54-32-a,b",https://images.collection.cooperhewitt.org/345437_568d7e463e257837_b.jpg,Uncut Waistcoat Fronts (France),"Uncut embroidered pastel floral waistcoat fronts, on cream silk","This rectangle of slightly worn, cream-colored silk is embroidered with floral designs arranged in the shape of waistcoat panels. In the top corners, split three and three, are six round button covers with pink bud motifs. At upper left are two bouquets bracketed with blue borders along the top and left sides, for the lapel front and back. The upper bouquet is larger, with rose-like flowers in delicate shades of pink, spring green foliage, and smaller blue and pink flowers. The lower bouquet is a salmon pink rose, spring green and multicolor foliage, and small dark pink and blue sprigs surrounding. To the right is the front half of the waistcoat, running almost the full length of the silk. The top, right, and bottom sides are bordered with blue lines. Large floral bouquets, like the ones on the lapels, march down the right edge of the waistcoat. At the bottom edge is a woodland hunting scene, with two brown dogs attacking a grey wild boar from both sides. Various plants and flowers in shades of light green, pale pink, and blue grow up from the bare brown ground. Behind the left dog is a yellow-brown tree with light green leaves. The tree ends in a pink-bordered rectangular pocket flap panel filled with leaves and three large butterflies, in light blue, pink, and golden yellow. The remaining body of the waistcoat front is filled with an alternating pattern of diagonal blue flowers and diagonal geometric blue sprigs, arranged in a grid.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,7/1/2020 3:20 PM,https://collection.cooperhewitt.org/objects/18212295/,"Drawing, Design for Embroidery, Gentleman's Waistcoat Pocket, ca. 1785",1920-36-324,https://images.collection.cooperhewitt.org/335581_0c6504044f55093a_b.jpg,"Design for the embroidery on a man's waistcoat or gilet. A grey dog and three grey geese appear below a pocket flap, surrounded by stalks of wheat. The dog and geese are separated by a bunch of pink and blue flowers. Two red flowers appear to the left of the dog. The bottom edges are bordered with purple and pink flowers, and small green leaves and purple dots line the edge of the flap.","Gouache and ink design for waistcoat embroidery with hunting scene and flowers, on cream-colored paper","This design for a waistcoat pocket embroidery shows a small hunting scene surrounded by oversized flowers and small floral borders. The drawing is done with opaque gouache in muted hues, ink, and graphite. On the upper half of the cream-colored paper is a faint graphite sketch of a pointed pocket flap. The sides and bottom are bordered with a simple vine in pale purple and green. Above the bottom vine is a brown line, perhaps marking the edge of the flap. Below the point of the flap is a small hunting scene, with a grey dog stalking right, and three grey geese flying right out of the golden-brown surrounding grasses. Centered on the ground line of this scene is an oversized posy of pink roses and spiky blue thistle-like flowers, with green foliage - the flowers are larger than the dog. To the left of the dog are two oversized red-orange poppy flowers on a wavy stem. An angled L-shaped brown line encloses the design, with a border of pink and purple flower tufts just inside the line. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,7/1/2020 2:25 PM,https://collection.cooperhewitt.org/objects/18338245/,"Embroidery Sample (France), ca. 1770",1932-1-8,https://images.collection.cooperhewitt.org/43177_cc642722f9991456_b.jpg,Dark green cut and voided velvet with minute dot pattern embroidered in elaborate border design of flower sprays in gold and silver with silver and white beads.,"Embroidery sample with stylized silver and gold floral design in silk, appliqué, metal threads, coils, sequins, and beads, on dotted dark green velvet","This rectangular embroidery sample has a silver and gold floral design composed of a variety of materials: silk threads, cotton appliqué, and metal threads, coils, sequins, and beads. The background fabric is dark green velvet patterned with tiny golden-yellow dots. The sample is surrounded by a cream-colored paper enclosure; at the right side of the sample, a crinkled brown paper is folded away. Along the left edge of the sample is a line of gold thread and sequins, with a stylized floral border in gold and silver threads. To the right of the border, stacked vertically, are three large groups of silver trumpet-shaped flowers, with gold foliage. The flowers appear to be pale grey appliqué, with accents of silver threads. Round matte bluish silver beads and clustered grey silk French knots ornament the open ends of the flowers. The dull gold blade-shaped leaves have gold sequins along the curved spines, and on the caps of the flowers. Fronds of delicate gold leaves with gold coil accents finish the bouquets. The top and bottom groups are the same design: four flowers, two large flowers nodding down, two medium flowers facing up and out. The middle grouping has three medium flowers clustered together, facing down and out.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/30/2020 4:25 PM,https://collection.cooperhewitt.org/objects/18338113/,Embroidery Sample (France),1932-1-18,https://images.collection.cooperhewitt.org/338770_2c69ad4cfea50ff0_b.jpg,Embroidery Sample (France),"Embroidery sample with multicolor floral and grass design in silk, metal threads, sequins, bullion, and glass beads, on black velvet","A rectangular embroidery sample on black velvet, with a floral design along the left side in silk, silver and gold threads, sequins, and bullion, and glass beads. Along the left edge of the sample is a band of dull gold stitches and sequins, running vertically. Next is a garland of overlapping flowers with oval-shaped clear glass beads at their centers, surrounded by sunburst-like stitches in light pink, light greens, and white. To the right are large sprays of grasses and a few pansy-like flowers. At the top is a nodding cascade of silver bullion grass heads, accented with round jewel-like blue glass beads. Small gold thread and sequin sprigs of leaves back the silver grasses. Below is a cluster of pansy-like flowers and foliage. Two blooming flowers are stitched in shades of pink silk, with some petals done in gold thread; round golden-yellow glass beads mark the centers of the flowers. Three buds to the right of the flowers are done in pink silk, with gold thread accents on the largest bud. Feathery pale green foliage surrounds the flowers. To the left is a tall scalloped leaf in golden-orange, flaming red, and leaf green, with a line of gold sequins on the spine and gold thread at the top edge. Just below the bottom flower is a round scalloped leaf in golden-orange and red, with gold thread accents on the spine and left edge. Below this leaf the silver grasses repeat. The sample is surrounded by a cream-colored paper enclosure; at the right side of the sample, a crinkled brown paper is folded away. ",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/30/2020 3:40 PM,https://collection.cooperhewitt.org/objects/18338227/,"Embroidery Sample (France), ca. 1770",1932-1-7,https://images.collection.cooperhewitt.org/43176_2dc4b346b5ee564e_b.jpg,Dark purple ground with a small diagonal design embroidered in a border pattern of heavy foliage sprays in silver sequins and metal wire.,"Embroidery sample with silver stylized foliage and feather design in silk, metal threads, sequins, and wire, on purple-patterned black fabric","This rectangular embroidery sample features a luxurious design embroidered in grey silk, silver threads, sequins, and wire. The different materials create a variety of textures that catch the light. The background fabric is black, patterned with light purple diamonds with notches cut out of the bottom point. Along the left edge is a vertical band of silver thread, grey silk French knots and little silver wire flower medallions, and repeating S shapes in sequins and feathery silver thread. To the right of this band is a repeating motif, with a long leafy stem curved above a large feather. The stem has pairs of serrated leaves running down its length, alternating with floral medallions centered over the stem. The silver leaves have lines of sequins down their spines; the flowers are made of bright crimped silver wire and thread. Grey silk French knots fill in the space between leaves and flowers. Below is the large feather, like a peacock feather. The teardrop-shaped center is made of crimped silver wire and thread, with a floral medallion in the round end. The center is surrounded by long fronds in wispy silver stitches and sequins. Lines of grey silk French knots alternate with the fronds. There are three foliage-and-feather motifs in total, stacked vertically. The sample is surrounded by a cream-colored paper enclosure. At the right side of the sample, a crinkled brown paper is folded away.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/30/2020 3:15 PM,https://collection.cooperhewitt.org/objects/18338097/,"Embroidery Sample (France), ca. 1770",1932-1-10,https://images.collection.cooperhewitt.org/338769_b862113edd43aeab_b.jpg,Black uncut voided velvet with a ground of small blue dots embroidered in a border design of large flowers in colored silks.,"Embroidery sample with muted multicolor floral design in silk, on dotted black velvet","This rectangular embroidery sample in silk and velvet has a repeating floral border on the left side. The background fabric is black velvet, with a pattern of pale blue-purple dots. Along the left edge is a creamy-white band of scalloped leaves, alternating with round fruits. To the right is a garland of leaves and flowers. At the top are long, pointed leaves in shades of brown and olive green, interspersed with small light blue flowers. To the right are two flowers. Above, a curved stem with white and buttery yellow blossoms and fan-shaped light green leaves running its length; below, a large, drooping flower in soft shades of pink, with a cone-shaped variegated green center, lacy pale green foliage, and a prickly pale green stem. The pink flower is accented with yellow and peachy pink French knots around its center, and on the long stamens. The two flower stems lead down to a cluster of pale pink flowers with round and pointed petals and serrated light green leaves accented with olive green, tucked against the band of white leaves and fruits. Below this flower cluster the brown leaves and two flowers repeat. The sample is surrounded by a cream-colored paper enclosure.",Rachael Patterson,,,,,,,,,,,,,,,
